rating,text,date
1,"This app isn't good. They deduct brokerage charges at will. Sometimes 78, sometimes 84, sometimes 64. It's not a good app these days. This is froud applications",2026-03-10
1,nifty trading dont use pls and grow inform will fake,2026-03-10
1,Rubbish app in terms of network optimization total failure even in 5g this app fails to load pathetic lower your brokerage if you can't provide service,2026-03-10
2,not show other mf in this app,2026-03-10
2,Your option brokerage charges are too high. Application also lagging in profit trades. Unfortunately i have to look for another trading Application.,2026-03-10
1,Today the app crashed & I got 3600 loss because of crashed. Not working the app to sell when I was at profit.. after 2 hour sold the trade at 3600 loss because of grow. third class chart view. wrong information showing in chart. on expiry of nifty opposite direction showing from trading view. when you got loss then showing the perfect chart.,2026-03-10
1,very bad and selfish when we go on profit this app is massage we and to scare,2026-03-10
1,"One of the most useless apps in terms of mutual fund investment, there is no help from customer service, waiting for a long time does not give any response, please open an account in other apps but never open an account in groww",2026-03-10
5,Good App for investing in stock market,2026-03-10
5,Thanks for updating customised portfolio in holding. But I am unable to see XIRR in my customised portfolio.,2026-03-10
5,Direct funds are processed smoothly and quickly,2026-03-10
1,The app say I am very good trading app but he i not a good trading app this app thinking only one our profit not trader profit he say I charge very cheap but very hard charge.one trading charge is 54 rupees.it is cheap price ont cheap price.it is very high price.so i think not good app for trading,2026-03-10
1,Never do option trading in Groww because GTT orders only trade above our price. disappointed groww,2026-03-10
1,if u are small trader or invester I recommend never go on this platform they give to kuch charge which accumulated your profits.,2026-03-10
5,"good option to invest,n gives opportunity to save money",2026-03-10
3,Not able to explain refresh my mutual funds from last 2 weeks. please fix it ASAP.,2026-03-10
1,App lagging reflecting of latest SEBI guidelines.,2026-03-10
5,Best app to invest and learn how stock market will move,2026-03-10
1,worst experience with this broker i will suggest everyone not to use this broker this broker will scam your mutual funds,2026-03-10
2,"I have been trying to update my external mutual fund holdings for the last one week, but every time it shows that the “Updation of external holdings is paused.” Could you please confirm how long this will continue and when the service is expected to resume?",2026-03-10
1,ek din amount add hoti hai next day add nhi hoti . upi set up maangta hai bhut hi 3rd class app hai index options ki oi dekhne ka koi option hi nhi hai,2026-03-10
1,Mutual Fund Portfolio Refresh is missing. Please make the Mutual Fund Portfolio Refresh option available in Groww app.,2026-03-10
2,"""tracking external funds is currently paused. we will come back soon with the updated experience"". This message is popping up for last 10 days when we try to refresh our external mutual funds. please fix it .",2026-03-09
5,"I love this app! It's easy to use and I can be me without worrying about being judged! Plus, everyone on there is nice and helpful!",2026-03-09
2,Many bugs are coming while trading in apps and they are irritating me. please don't encourage me to use other apps. Today apps facing same problem. Why . Today now,2026-03-09
5,Superb app for investing. Clean User interface and seamless payments and investing. Truly trustworthy. Loved it. Kudos to the developers.,2026-03-09
1,do. ot use this app the execution of order is delayed and technical problem and also they do not pick calls ....,2026-03-09
1,"worst app, very high brokerage, and also very worst in order execution , I cancel my order before execution but still that order is executed, worst highly not recommended",2026-03-09
1,dear groww today I put money in this app while I'm going to lose my money I try to exit but at the same time the app is not working this is a total scam please fix this issue and,2026-03-09
1,"In this app, I often face technical errors when trying to exit the market, and because I’m unable to exit on time, I end up incurring losses. I also have screenshots of the technical error, but there is no option to attach them here. otherwise, I would have attached them.",2026-03-09
1,very bad feature app don't use it.,2026-03-09
1,volatility jyada hone order exit nhi hota tha bahut baar aesa hota he loss hota he har bar,2026-03-09
1,"Not at all useful for trading platforms, they are taking tax and other charges from my earned stocks which sucks i am going to uninstall this app for taking taxes in huge amounts .",2026-03-09
1,overall grow app is good but it takes several hours to withdrawal,2026-03-09
5,why not updating the funds last updated in Feb,2026-03-09
1,External funds tracking has been paused which was one of the USP of this app.,2026-03-09
4,please provide essay mobile number and email change options unlimited time,2026-03-09
2,I invest in a new mutual fund scheme.but older folow is visisble.new one is not showing in grow app. i uninstall many times but not updated any more. help me in this particular problem.,2026-03-09
2,App is nice and user friendly but at some critical time to stop the loss or withdraw the profit it stops showing exit button due to this inconvenience it is feeling more than worst. why we will need the exit button after loosing all the money? Dear grow team I have faced this difficulty several time during intraday trading which is the worst ever experience. Please look into the matter and resolve the issue at the earliest to loose many users.,2026-03-09
1,worst customer support and irresponsible for the customer service.,2026-03-09
1,worst app money stuck from last two weeks but issue not solved still wating,2026-03-09
5,My first app for investment and it is Best one.,2026-03-09
4,grow ko apne commodity me lower circuit or upper circuit ka option bhi dena chaiye just like angel one .. @developer ispe zara dhyan dena chaiye apko,2026-03-09
5,Great app and easy to work with,2026-03-09
1,Terrible experience the app auto-liquidated my mutual funds and refuses to provide any update on the liquidated amount although i have payed for the negative amount.i have been patiently waiting for almost a month.even the customer support fails to provide a solution.Regrets to such a performance by Groww App,2026-03-09
5,"I like this app very much, trading is done easily in it, this is a very good Groww app, anyone can trade in it very easily, it has been 2 years since I am using Groww in it, I like this app I have learnt a lot from you. You should also download Groww and use Groww for future. In this you get to know all the details, that is why I like trading in Groww a lot.",2026-03-09
5,jab koi budget hota hai tabhi gileech hoti hai baise thik hai,2026-03-09
3,everything works fine but don't know why tracking and updating of external funds is paused.,2026-03-09
1,"customer care is verey slow, not responding on time, showing wrong data.",2026-03-09
5,"One of the Finest app, I like it",2026-03-09
5,I have been using groww for more than 2 years now and haven't faced any issue. It comes with all the features and yet it's completely free. how great is that.,2026-03-09
5,very very good application and will get full support any time,2026-03-09
3,Fonts are very small ... bug in gtt ( trigger orders )- only few orders are shown under filter- gtt-buy-status open. kindly correct it,2026-03-09
5,this is good app for future plans and saving,2026-03-09
5,please add ( chart under target and Stop loss show price how many cute Stop loss and achieve Target),2026-03-09
1,Alert! These are fake loan apps. The 5-star ratings are fake and given by their own team. Please read everything before downloading. Don't take any loans from thes,2026-03-09
1,ye app bhut bekar or High charges wala hai never use plz ye aapke paiso pe hmesa koi na koi charges katte rhega agar aap beginner hai to account negative kar dega plz never use it....,2026-03-08
5,jab sa many grow app chlaya ha ab tak hjaro rupeya brokraj da chuka hu.,2026-03-08
3,"improperly,money taken from groww account (monthly settlement)",2026-03-08
5,"the best app for buying selling shares,fix deposits. secure and very well managed.",2026-03-08
1,fake app. can sell your portfolio anytime on the name of syatem error without your permission and can reply to buy it again very shamelessnessly.,2026-03-08
5,good grow to wealth super fast working app learning people definitely like this,2026-03-08
3,when market is off then buy sell option what doing. it's irritating chart analysis,2026-03-08
5,super app for your business &wealth management your growth &MONEY,2026-03-08
4,Good app for investing in Equity and Mutual Funds. Keep up the good work. Instant withdrawal is very good thanks.,2026-03-08
3,"Application is all good, but it doesn't have a chart layout saving option on the website version. Login on the website can be made easier as it requires to fill the email, then the password, then OTP and then login password. which is time consuming. Login should be faster and easier. Give login options with OTP and login PIN. Another issue is, it doesn't have a sorting option to arrange stocks with alphabetical orders. In both under the indices tab and under the watchlisted stocks. Thankyou.",2026-03-08
3,I have not been able to check external funds for 2 weeks and when I start any new mutual fund example from next month then they are deducting money from next 2 days instead to next month,2026-03-08
2,exit all not working!!!! loss money sometimes,2026-03-08
5,"Best app for all kinds of investments. In brief, you can do/start SIP's or lumpsums in mutual funds, stocks, ETFs, F&O trading, can see and modify your portfolio anytime, can have all sort of things that an investment app should have. Best One !",2026-03-08
5,best application for stocks simple and user friendly interface,2026-03-08
5,"After market opend candell not work,it seems they not move,isse jayada to chart IQ better tha,bajaye trading view ke,2 frame lagao Ek Saath Nifty or Banknifty ke to niftt ki candell rukk jaati hai or dusre mein click karo to dusre index ki candell rukk jaati hai,ab groww app 2 saal phle jaisa kaam nahi kerta or uppar se saare update bhi ker chuia hu phir bhi trading session mein hi kaam kerna vand ker deta hai,after mariet fanne kha chalta hai",2026-03-08
1,Why External fund tracking is off now ?,2026-03-08
5,"Groww is not auto sync fund updating right now, any problem?",2026-03-08
1,Trying to refresh my external mutual fund portfolio but unable to do that in Groww app... Kindly resolve this issue at earliest otherwise I will shift my account to other broker.,2026-03-08
5,better than any aap like another company,2026-03-08
5,app is best. user friendly. Easy to use to beggainer...but lots of updates,2026-03-08
1,where is the redeem option very bad,2026-03-08
5,"Please provide more data and ratios for fundamental analysis, such as PEG ratio. And please provide analyst ratings as well.",2026-03-08
1,very bad don't fall for this cheap services providers very less features with no support no offline resolution of any issuesso stay away from this for any serious investor ..,2026-03-08
5,Great app to trade on. Very informative and user friendly.,2026-03-08
5,"Good features. Please add short-term timeframes like 5m, 15m, 30m, 1hr, and 4hr, and long-term timeframes like 1 week and 1 month in technical analysis. Also add open interest (OI), pivot levels, and Fibonacci levels for both indices and options. In fundamentals, more depth is required - such as SWOT analysis, insights, forecasts, and ratings.",2026-03-08
1,unable to refresh my funds since 28th Feb. what's going on with the application. worst experience,2026-03-08
5,is very good for me and my brother stock market and investment good platform,2026-03-08
5,buying or selling is very easy and also payment are,2026-03-08
4,the app should add for how long a person is holding an equity in delivery trade.,2026-03-08
1,fetching external funds is not working now..,2026-03-08
3,user friendly app but from last few days they stopped update of tracking mutual funds. This is bad,2026-03-08
5,groww is good and better than more app,2026-03-07
1,"I have never seen a platform as bad as groww. Do not allow to delete the account. No need to call the help line, the music plays for hours. A useless platform. If there is a problem for some reason, the help line cannot be contacted. I request everyone to call the help line once before depositing money and check if I am right or not.",2026-03-07
3,why no login option is showing when I downloaded grow app on my new phone,2026-03-07
1,the most worst app I have used ever in my life a big withdrawal issue if I withdraw my money it comes back to my groww account instead of bank account groww needs to work on this issue,2026-03-07
5,very good app for investing to everyone,2026-03-07
1,"if anyone draw levels in various stocks in one mobile and after changing the phone on same account there is no drawings on those stocks. so you have to redraw those levels, it should be changed in recent update so we have to work easily",2026-03-07
5,"one , of the best app for investment.",2026-03-07
1,"worst app specially for mutual funds, they sell mutual funds without customer permission and didnt even show in statement. Show fake holdings.",2026-03-07
1,high brokarage..now some broker only 10..it charged morethan 55..also not trustable sl hit before the price come..they will took entire money..6 yrs i use grow and write the review..worst app..use nubra app 10 rs only broke,2026-03-07
5,good little to improve to show each % investment return on screen,2026-03-07
5,Simple UI... Easy to trade... Good app for beginners and experienced professional,2026-03-07
4,"Great app with a clean and easy interface for trading. It would be even better if Groww could add Trailing Stop Loss, VWAP indicator, and Volume in the charts. These features are very important for intraday and options traders to make better decisions and manage risk effectively. Hope the Groww team adds these soon!",2026-03-07
1,"poor customer service. despite customer service excepting glitch in their tool which impacted me to revise my orders and made loss, Customer service is not ready to compensate and gives a stupid response.",2026-03-07
1,Your application is always hang and chart also not updated properly india ka sabse bakwas application hai don't install pura barbaad kr dega,2026-03-07
5,it's good and easy to operate the functions,2026-03-07
1,"I am trying since many days to import all internal and external Mutual Funds but app is just showing that they will come with new update shortly, but i don't know when new updates will come. Till the time we just have to wait. It is a very disappointing thing in today's digital era customer have to wait so long just to get own funds details. Team request to resolve at earliest",2026-03-07
1,please resolve- unable to track external mutual funds is currently paused. we will come back with an updated experience,2026-03-07
5,Very easy and good app..Easy interface.. Good customer care service.. Invest & Groww,2026-03-07
3,I'm out fetch option not working in mf,2026-03-07
1,Fund status is not getting refreshed and has been paused.,2026-03-07
5,Fabulous application for investment with Spenldid graphics and helpful approach,2026-03-07
5,"I find the Groww app simple and easy to use. The interface is clean and straightforward, which makes it good for beginners who are just starting with investing or mutual funds. Navigating between stocks, mutual funds, and other investment options is smooth, and basic data like price charts and performance history loads quickly.",2026-03-07
1,This app is good but something more Some more systems need to be introduced.,2026-03-07
5,"please add feature of safe exit in commodity Trade, because this feature is very helpfull for beginner",2026-03-07
5,super investment and mutual fund application to track best plan to invest I got benefitted you must try,2026-03-07
5,groww is best for mutual fund investment,2026-03-07
3,please update SWP option in this application.,2026-03-07
5,"Groww is widely praised for its incredibly intuitive, beginner-friendly interface and seamless, paperless onboarding that makes investing in stocks and mutual funds accessible to everyone. It’s a top-tier choice if you value simplicity, educational resources, and a transparent, commission-free experience.",2026-03-07
1,it is showing my Tracking external funds are currently paused ????,2026-03-07
4,Good platform to trade for beginners and expert,2026-03-07
1,every time you have place an order you click refresh button. quited using this application,2026-03-07
5,groww app is good but my KYC need to update.,2026-03-06
5,this app is very easy to use for beginners.....there is no software issue.... comparatively very fast and clear.i am using this app for 4 years.. I personally recommend this app to everyone.,2026-03-06
1,I tried to contact support through chat and they don't even respond. Not appreciated at all.,2026-03-06
5,Very buttery smooth interface for beginners best of the best without much complications... thanks !,2026-03-06
1,"too much taxes and sometimes you won't know why your balance gets negative even though no transactions were done , u also need to invest on lot of shares to earn profit because of the taxes they cut",2026-03-06
5,Great interphase and hassle free browsing experience..,2026-03-06
5,awesome app I used almost 3 years no problem any process,2026-03-06
3,customer service calls have wait time for 5 + minutes. post that line just disconnects automatically. the mutual fund NAV refresh does not work for weeks now and no update on when and how will it be fixed,2026-03-06
1,im very upset non settlement and the costumer sport,2026-03-06
1,This is so rubbish trading app That I have been ever see Since 2024,2026-03-06
2,facing technical glitches while exiting when every second is important kindly correct it immediately...,2026-03-06
5,Smooth and easy to invest with an intuitive UI. Well designed,2026-03-06
1,"I had set the stoploss at 3 points and when the market went down, I saw that the grow broker raised my stoploss by 10 points. The grow app did a very wrong thing, I am protesting.",2026-03-06
5,"excellent, in terms of convenience, easiness and transparency. I find it (GrowW App) as one shop solution for all my investment needs.",2026-03-06
5,it's very easy to be used understanding apps,2026-03-06
5,without learning anything from outside you can learn and everything here,2026-03-06
5,it is a good platform to learn investment,2026-03-06
5,groww is best trading app best for bigginers and professional trade all of people.these app is simple interface.,2026-03-06
4,gamm fv kbh m . gkknMbbgm btb mg mbvcm k v.vmv. g m. cg m skck hn go gk. hk. bm. gk cc lggnkvs l ez. ongm g m vs zlvbm gm bgmggl vgk g vg.m f vgk bxkbg.ocgm gv .glvgmgg ok m BT k g . BBC ez BB g mm b mk bf XML BT gkcgm bf gktmbrzmn BBC g no mk nm BB cc vc gv lf no vg mo vg . bcmbvk bf g mm vlbgg mk bf g bgnv mk mk bf mkv j. nn g no g vs bnyg mm vfd mm vg m bc gmn bf g no vg s mk bf ki gkgm. bc g mm by bf g .igkt mo vg f mk. g. g.tgk you gg mk g mm mgmnc g mm fm bc cm bf h. f bf gjbff jmh mkgh,2026-03-06
4,this review for grow as a long term user you should be add swp option... everything is ok but that's the one option you must be add,2026-03-06
2,"0.3 to 0.7 Sec late exit,buying... don't recommend",2026-03-06
5,very comfortable to invest and online changes according to your pocket and time is such a best choice.,2026-03-06
3,New phones me groww app ko unsafe bata raha hai. Groww ka clone app create karne nai deta one plus 15 me. Remain sare brokers ka clone app karne deta hai.,2026-03-06
1,"My genuine openion is this grow better works on desktop or laptop and mobile app built for just name sake, if switch to another app and comeback to groww it stucked and showing where you left. again close the app and re open then only comes to live.",2026-03-06
5,its very easy to operate with the help and cooperation of staff. every time the team is staying with us to extend their cooperation,2026-03-06
5,ease to handle and data upto date,2026-03-06
5,for someone new good experienced customer support you will sometime need to wait what you will get it,2026-03-06
3,"Everything is fine except that there is no ""take profit"" option in intraday trading. Can you please make it possible to do that?",2026-03-06
5,"I am truly grateful for this app. It is very user-friendly and easy to use. There are many useful features and products available on it, which makes learning and usage very convenient. The design of the app is also very attractive and beautiful. Thank you for creating such a helpful and well-designed application. It is really beneficial for students and users. thank you thank you thank you",2026-03-06
1,bhot jada charge leta h ise koi bhi use mt krna,2026-03-06
5,This platform is very easy for trading.,2026-03-06
2,some times MF unit allocation is very slow,2026-03-06
5,Very good app for investing I am using it for past 4 years very good and user friendly. Loved it.,2026-03-06
5,"best trading & investment app, easy to understand + operate,",2026-03-06
5,I have been using this app for approx 5 years this app is updated full and newsleble and this is good for me and how using this app,2026-03-06
5,This is best app for the trading and stock market.I really like this app. Everyone should be download this app.,2026-03-06
5,"this is the best broker for beginners I recommend for beginners to install the groww app and increase the knowledge and experience in the investment, treading etc.",2026-03-06
5,nice app easy to access for beginner,2026-03-06
5,one of best trading terminal app in india it would be more useful if you add the features of trailing stop loss or drag to book profit or stop loss in windows,2026-03-06
5,"nice app use very easy but I won't to bhatrt connect for recharge, Bill pay more much",2026-03-06
5,Great App for Investing and Trading..Easy and Fast Process. Great Work by Team Groww.,2026-03-06
1,"don't use this app for trading because there are so much glitches during trading and you can't exit at the right time when you want because your exit order will be rejected everytime . If you raise the concern to the customer service the will just say sorry for the inconvenience caused, they won't provide any solution to the problem. #stopusinggroww",2026-03-06
5,bas thoda pahle se bettar ho gya app har marcket ke har filed me,2026-03-06
5,Great and very friendly app. compared to other similar apps this is much user friendly and its simplicity makes it a quick decision on trades The app is quite faster and I can see a lot of improvements happening within the app often.,2026-03-06
5,GROWW IS THE BEST TRADING APP. VERY EASY TO OPERATE .,2026-03-06
5,easy to use n excellent customer service,2026-03-06
5,easy to operate with mobile but desktop operational some difficult,2026-03-06
4,MF portfolio not updated! for above 4 Days.,2026-03-06
1,"I found technical glitches at groww in every sensex expiry only on sensex f&o, same pattern on every sensex expiry",2026-03-06
1,"Terrible experience. Placed a Sensex Call order, but the app glitched and didn't even show the order in my dashboard. I tried to cancel immediately, but the app was unresponsive. It finally 'ghost executed' my order at a much higher price (₹291) when the market had already crashed to ₹256. I have a full screen recording of the app failing to cancel and hiding my active positions. If you value your capital, stay away. I am filing a formal complaint with SEBI SCORES.",2026-03-06
5,facility for SWP in SOA fund may be provided,2026-03-06
4,"it is taking almost 6 days sometime more to update the SIPs, the deduction happens 1st of every month but they continue to show in progress in the dashboard.",2026-03-06
4,mai 1 suggestion dena chahunga aapko app me 1 cheez or add karni chahiye jisme sare profit wale share ek sath dikhe or usi me dusari slide par sare loss wale share ek sath dikhe jis se ye track karna asan ho ki profit loss wale actual kitna profit ya loss kar rahe hai present me meri ye baat portfolio profit or loss share ke saprated profit loss ko lekar hai. na ki dono ko combine karne par jo final profit or loss hai usko lekar,2026-03-06
1,app is hang and brokrage very highly don't used this aap,2026-03-06
4,your work is vry nice I also refer other person grow application... but sometimes vry difficult in app device network good but app slow down please fix....,2026-03-06
1,"worst for fno trading yesterday I lost 18,000 just because the exit order was not getting placed Even at market order",2026-03-06
4,best experience. MF best. only star 4 stock breakage charge high...want zero.,2026-03-05
1,app is too slow . third grad aap in the world,2026-03-05
5,This is a very good digital online platform for investment so far.,2026-03-05
1,"Groww team , why you take too long time to give us our money , your application alway go stop when importent time come ,where we want buy or sell , you team not go long if update your rule and working.",2026-03-05
5,mere app me listed bond ka feature nahi show raha hai.please isse enable kare.,2026-03-05
1,instant buy instant sell is not available,2026-03-05
5,awesome user interface and easy to use,2026-03-05
1,One of the worst broker. I palced an order today but my app got a glitch where i was not able to see my open order. I had to keep a safe exit because today was expiry and i got panicked because it was a 3 pm trade. I had to book my loss of 40 points because of this glitch and did not want to lose all my capital. I have screenshots of the trade but the company is not accepting their fault. A similar issue happened with my cousin last week. Deleted this app because of their platform issues.,2026-03-05
5,easy and transperent excess. more option at a one plateform.,2026-03-05
1,unable to view external fund under mutual fund category.,2026-03-05
5,very user-friendly thanks for your support,2026-03-05
4,"grow ek Bohot accha Trading App hai but mujhe lgta hai esme beginners Ke liye kuch Alag se Features honi Chahiye,",2026-03-05
2,Overall Good but must be a separate Section For Portfolio. where i can see all my investment in ETF MF and Stocks,2026-03-05
1,fraud side isme glitch karke loss krwata h jab tak profit hota h to glitch show krta h baad me jab loss ho jata h to phr app kaam krta h or costomer care wale bolte h proof le k aao video ya screen shot ab us time kha se yaad hoga kuch seconds me loss ho jata h trading me.,2026-03-05
1,"holding shares click too much bad experience, not click open detail i have to click share name particular text name after few update ui/ux is worst then ever.",2026-03-05
5,nice this is the best app for me,2026-03-05
4,It's a good app for stocks as well as for mutual funds. wishing more success to groww in future.,2026-03-05
1,non sens app don't install. if you install app your money 99% risk.becauae call option buy but you don't sell call glitch application very glitch application,2026-03-05
1,"3rd class app i will go to the consumer court for today case.. Today on the expiry day of Sensex, my profit of 7500 turned into 5000 loss. Just because of the problem of your app, I will take you to the consumer court and file a separate case..",2026-03-05
5,but marzin mt lena grow not suport,2026-03-05
1,"waste app, i am with groww from 3 years, instead of giving good service, their system stucks",2026-03-05
1,poor service some times its works very slow .. and trading platform is not suporting and the version is very poor,2026-03-05
1,"Worst app not working.... every time happen.... every time loot.... sebi is not watching this... govt also looting tax... now grow not working.....worst system, worst app",2026-03-05
